[2026-06-06T16:54:06.671Z] GET https://www.mkm.ee/en → pending (?ms, ?B)
[2026-06-06T16:54:07.410Z] GET https://www.mkm.ee/sites/default/files/styles/slider_thumbnail/public/2024-04/Man%20at%20the%20seaside%20using%20mobile%20phone_Renee%20Altrov.jpg?itok=-SQK58Tk → pending (?ms, ?B)
[2026-06-06T16:54:07.411Z] GET https://www.mkm.ee/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js → pending (?ms, ?B)
[2026-06-06T16:54:07.411Z] GET https://www.mkm.ee/sites/default/files/js/js_0BV7LolHMdm0gwuV2GUlCQ9ZJHYm8usEZUny-8j5ksc.js?scope=footer&delta=0&language=en&theme=vp_distro_theme&include=eJx1jVEOgzAMQy8E5EhVWkzbkTYoLduOP8bPENJ-YjsvVvjBbyfKM4z456eeTL2HDX4nv08hIaxHwu6C6ppxSNkkcw1wsRf6B4aoGgWuc6R4jHuevk-H5-bm3Lrp0TZQFPUso-S6jga5421eTtYuoGnILC4HrY1aYsN4-stJTyigwrleli_4Ra1QQWsc8QEb02oS → pending (?ms, ?B)
[2026-06-06T16:54:07.411Z] GET https://cdnjs.cloudflare.com/ajax/libs/bootstrap-datepicker/1.10.1/js/bootstrap-datepicker.min.js → pending (?ms, ?B)
[2026-06-06T16:54:07.411Z] GET https://www.mkm.ee/sites/default/files/js/js_Df-wo9lMZeH98s9n6hm5k9BdNIpX-CbKgFmOBq8aO08.js?scope=footer&delta=2&language=en&theme=vp_distro_theme&include=eJx1jVEOgzAMQy8E5EhVWkzbkTYoLduOP8bPENJ-YjsvVvjBbyfKM4z456eeTL2HDX4nv08hIaxHwu6C6ppxSNkkcw1wsRf6B4aoGgWuc6R4jHuevk-H5-bm3Lrp0TZQFPUso-S6jga5421eTtYuoGnILC4HrY1aYsN4-stJTyigwrleli_4Ra1QQWsc8QEb02oS → pending (?ms, ?B)
[2026-06-06T16:54:07.412Z] GET https://static.cloudflareinsights.com/beacon.min.js/v833ccba57c9e4d2798f2e76cebdd09a11778172276447 → pending (?ms, ?B)
[2026-06-06T16:54:08.339Z] GET https://www.googletagmanager.com/gtag/js?id=G-3F1Q027MBE → 200 (522ms, 163947B)
[2026-06-06T16:54:08.340Z] GET https://www.mkm.ee/profiles/vp_distro/themes/vp_distro_theme/assets/dist/spritemap.svg → pending (?ms, ?B)
[2026-06-06T16:54:08.363Z] GET https://www.mkm.ee/sites/default/files/styles/crop_rotate_full/public/2023-07/photo-of-lego-toy-miniatures-3806754.jpg?itok=MtiVbdMJ → 200 (269ms, 76453B)
[2026-06-06T16:54:08.363Z] GET https://www.mkm.ee/sites/default/files/styles/crop_rotate_full/public/2026-01/55065412399_e638814cbd_o_0.jpg?itok=PaN05Bue → 200 (268ms, 133253B)
[2026-06-06T16:54:08.363Z] GET https://www.mkm.ee/sites/default/files/styles/crop_rotate_full/public/2023-10/technology-4085029_1280.jpg?itok=JO2LZ7yN → pending (?ms, ?B)
[2026-06-06T16:54:08.363Z] GET https://www.mkm.ee/profiles/vp_distro/themes/vp_distro_theme/assets/static/images/blue_bg.jpg → pending (?ms, ?B)
[2026-06-06T16:54:08.363Z] GET https://www.mkm.ee/profiles/vp_distro/themes/vp_distro_theme/fonts/Roboto-Medium.ttf → 200 (300ms, 89498B)
[2026-06-06T16:54:08.363Z] GET https://www.mkm.ee/profiles/vp_distro/themes/vp_distro_theme/fonts/Roboto-Regular.ttf → 200 (300ms, 88801B)
[2026-06-06T16:54:08.363Z] GET https://www.mkm.ee/profiles/vp_distro/themes/vp_distro_theme/fonts/Roboto-Bold.ttf → 200 (322ms, 88963B)
[2026-06-06T16:54:08.364Z] GET https://www.mkm.ee/profiles/vp_distro/themes/vp_distro_theme/fonts/Roboto-Light.ttf → 200 (322ms, 88250B)
[2026-06-06T16:54:08.882Z] POST https://stats.g.doubleclick.net/g/collect?v=2&tid=G-3F1Q027MBE&cid=569131097.1780764849&gtm=45je6631h1v9128502457za200zd9128502457&rcb=18&aip=1&dma=0&gcd=13l3l3l3l1l1&npa=0&frm=0&tag_exp=0~115938466~115938469~118228215~119027224 → 204 (130ms, 546B)
[2026-06-06T16:54:08.882Z] GET https://www.google.cl/ads/ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-3F1Q027MBE&cid=569131097.1780764849&gtm=45je6631h1v9128502457za200zd9128502457&rcb=18&aip=1&dma=0&gcd=13l3l3l3l1l1&npa=0&frm=0&tag_exp=0~115938466~115938469~118228215~119027224&z=2144271068 → pending (?ms, ?B)
[2026-06-06T16:54:09.009Z] GET https://browser-update.org/update.min.js → pending (?ms, ?B)
[2026-06-06T16:54:09.009Z] GET https://www.mkm.ee/cdn-cgi/challenge-platform/scripts/jsd/main.js → 302 (381ms, ?B)
[2026-06-06T16:54:09.390Z] GET https://www.mkm.ee/cdn-cgi/challenge-platform/h/g/scripts/jsd/8fc8ed1d8752/main.js? → 200 (210ms, 10819B)
[2026-06-06T16:54:10.317Z] POST https://www.mkm.ee/cdn-cgi/challenge-platform/h/g/jsd/oneshot/8fc8ed1d8752/0.6019637782167577:1780761620:AlhJUuk9COGL5ZZSsWUTld3tzIc9k0wOCyGC3dwDiAs/a078efe92e68630a → 200 (231ms, 1794B)
[2026-06-06T16:54:10.319Z] POST https://www.mkm.ee/cdn-cgi/rum? → 204 (228ms, 481B)
[2026-06-06T16:54:11.432Z] GET https://www.mkm.ee/sites/default/files/2023-08/pexels-bruno-scramgnon-315658.jpg → pending (?ms, ?B)
[2026-06-06T16:54:11.432Z] GET https://www.mkm.ee/sites/default/files/2023-07/t%C3%B6%C3%B6keskkond.png → pending (?ms, ?B)
[2026-06-06T16:54:11.432Z] GET https://www.mkm.ee/sites/default/files/2024-12/P%C3%A4rnu%20kesklinn_Maa-amet.jpg → pending (?ms, ?B)
[2026-06-06T16:54:11.432Z] GET https://www.mkm.ee/sites/default/files/2022-03/IMG_7384_MarisTomba.jpg → pending (?ms, ?B)
[2026-06-06T16:54:11.487Z] GET https://www.opensecrets.org/ → 307 (34ms, ?B)
[2026-06-06T16:54:11.521Z] GET https://www.opensecrets.org/ → 403 (12ms, 2332B)
[2026-06-06T16:54:11.563Z] GET https://www.opensecrets.org/cdn-cgi/challenge-platform/h/g/orchestrate/chl_page/v1?ray=a078f0042dbde7ab → 200 (26ms, 66657B)
[2026-06-06T16:54:11.594Z] GET blob:https://www.opensecrets.org/0fa961f9-7cda-4f64-b637-47e540153668 → pending (?ms, ?B)
[2026-06-06T16:54:11.597Z] GET https://challenges.cloudflare.com/turnstile/v0/g/8fc8ed1d8752/api.js?onload=NoWu9&render=explicit → 200 (47ms, 21814B)
[2026-06-06T16:54:11.710Z] POST https://www.opensecrets.org/cdn-cgi/challenge-platform/h/g/flow/ov1/4212158238:1780761618:nQmigPe2RjYgWbycYrqtZ7VtYd3iKO47J131q4xNYBs/a078f0042dbde7ab/pkedUT1rwSgIU1VBvb2f0wQPzXKKeVa8jDrBT4LOJrg-1780764851-1.2.1.1-qikmIKFPPScm0maGJ8P3PmXRNwJUkXcuhL8Y7kbRihByYVfQ7_PIo_WbDaI5fdvt → 200 (19ms, 16630B)
[2026-06-06T16:54:11.732Z] GET blob:https://www.opensecrets.org/1b077799-646a-42e4-aee0-d35876a17094 → 200 (7ms, -72B)
[2026-06-06T16:54:11.736Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/turnstile/f/ov2/av0/rch/umdo8/0x4AAAAAAADnPIDROrmt1Wwj/light/fbE/new/normal?lang=auto → 200 (32ms, 86216B)
[2026-06-06T16:54:11.806Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/cmg/1 → 200 (3ms, 208B)
[2026-06-06T16:54:11.813Z] GET blob:https://challenges.cloudflare.com/177406f5-427a-455b-9d5e-416483cdb23d → pending (?ms, ?B)
[2026-06-06T16:54:11.937Z] POST https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/flow/ov1/820979115:1780761619:nLZbFiRHe3VySS1wlSGn23l-2Zk4qPF0GrMcgiBWl5I/a078f0058e8bc712/v_2nknqYdSmeuApr0aiUrGtiMvDnQGFuAzCfyy2eI8Q-1780764852-1.2.1.1-VAGpEFQpGRC5vby3mAsrUHIRROSzQev9BVQSV3WPnOOPZKHhG5PkuGFLyA_ZKHEY → 200 (87ms, 345353B)
[2026-06-06T16:54:12.066Z] GET blob:https://challenges.cloudflare.com/ff7af345-d569-4c46-92e5-5bd659e9ab62 → 200 (6ms, -72B)
[2026-06-06T16:54:12.295Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/pat/a078f0058e8bc712/1780764852284/dd470b5737071af0d4e2db8f3c210051e8c6068789d2443ce3a9c443b088a64d/qy1WbiWomnNksTZ → 401 (8ms, 1694B)
[2026-06-06T16:54:12.959Z] GET blob:https://challenges.cloudflare.com/ff7af345-d569-4c46-92e5-5bd659e9ab62 → 200 (3ms, -72B)
[2026-06-06T16:54:13.145Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/d/a078f0058e8bc712/1780764852286/9bz9G7ryQ3OFz4K → 200 (9ms, 1970B)
[2026-06-06T16:54:13.190Z] POST https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/flow/ov1/820979115:1780761619:nLZbFiRHe3VySS1wlSGn23l-2Zk4qPF0GrMcgiBWl5I/a078f0058e8bc712/v_2nknqYdSmeuApr0aiUrGtiMvDnQGFuAzCfyy2eI8Q-1780764852-1.2.1.1-VAGpEFQpGRC5vby3mAsrUHIRROSzQev9BVQSV3WPnOOPZKHhG5PkuGFLyA_ZKHEY → 200 (47ms, 28910B)
[2026-06-06T16:54:13.234Z] GET blob:https://challenges.cloudflare.com/dcac5559-0183-4653-8998-4dba376216b1 → 200 (7ms, -72B)
[2026-06-06T16:54:20.164Z] GET https://www.opensecrets.org/ → 403 (13ms, 5017B)
[2026-06-06T16:54:20.182Z] GET https://www.opensecrets.org/cdn-cgi/challenge-platform/h/g/orchestrate/chl_page/v1?ray=a078f03a2d83e7ab → 200 (19ms, 66324B)
[2026-06-06T16:54:20.204Z] GET blob:https://www.opensecrets.org/9f522018-ecc4-4cba-8cb3-db3fe3b5dbbc → pending (?ms, ?B)
[2026-06-06T16:54:20.207Z] GET https://challenges.cloudflare.com/turnstile/v0/g/8fc8ed1d8752/api.js?onload=NoWu9&render=explicit → 200 (?ms, -477B)
[2026-06-06T16:54:20.319Z] POST https://www.opensecrets.org/cdn-cgi/challenge-platform/h/g/flow/ov1/4212158238:1780761618:nQmigPe2RjYgWbycYrqtZ7VtYd3iKO47J131q4xNYBs/a078f03a2d83e7ab/MT_lWNLLN2kOr5DjdodsBRoDVMMquqOcWehmuehfFNs-1780764860-1.2.1.1-V59xnkwhlNKk8IK7ybfrek0BZvvPSpuYYT5QB1I4jSclpJ1oDgtQO2fC_xpipEf3 → 200 (24ms, 16599B)
[2026-06-06T16:54:20.340Z] GET blob:https://www.opensecrets.org/ccab8a42-502b-40a4-bbd2-93c1fac689ab → 200 (5ms, -72B)
[2026-06-06T16:54:20.344Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/turnstile/f/ov2/av0/rch/kcvye/0x4AAAAAAADnPIDROrmt1Wwj/light/fbE/new/normal?lang=auto → 200 (17ms, 89611B)
[2026-06-06T16:54:20.383Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/cmg/1 → 200 (5ms, 208B)
[2026-06-06T16:54:20.389Z] GET blob:https://challenges.cloudflare.com/7dafa77f-1b2a-40ad-a200-ba3befd6cbba → pending (?ms, ?B)
[2026-06-06T16:54:20.513Z] POST https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/flow/ov1/820979115:1780761619:nLZbFiRHe3VySS1wlSGn23l-2Zk4qPF0GrMcgiBWl5I/a078f03b4ad0c712/E4ADwzNtKDd4PHf_oVe37HJvgctrb7pzHZmaa0CRdGM-1780764860-1.2.1.1-gqvLvmqK137Rw2TstOGdqzGpp7Wpgf9IkBn4kZaeAjDnw4dFV7Y6UY.QiOtFbLB5 → 200 (80ms, 344887B)
[2026-06-06T16:54:20.620Z] GET blob:https://challenges.cloudflare.com/e670f633-9f72-422f-b7ed-2ede86e0de0a → 200 (7ms, -72B)
[2026-06-06T16:54:20.652Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/pat/a078f03b4ad0c712/1780764860858/093f53480b25ef9a785c45ef80add1ba6a966c25b5ca296dd85cceb72aefa5cd/JSPFw6ifaltEoHj → 401 (9ms, ?B)
[2026-06-06T16:54:21.191Z] GET blob:https://challenges.cloudflare.com/e670f633-9f72-422f-b7ed-2ede86e0de0a → 200 (4ms, -72B)
[2026-06-06T16:54:21.202Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/d/a078f03b4ad0c712/1780764860859/UCreTO5Th2veepW → 200 (11ms, 1270B)
[2026-06-06T16:54:21.568Z] POST https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/flow/ov1/820979115:1780761619:nLZbFiRHe3VySS1wlSGn23l-2Zk4qPF0GrMcgiBWl5I/a078f03b4ad0c712/E4ADwzNtKDd4PHf_oVe37HJvgctrb7pzHZmaa0CRdGM-1780764860-1.2.1.1-gqvLvmqK137Rw2TstOGdqzGpp7Wpgf9IkBn4kZaeAjDnw4dFV7Y6UY.QiOtFbLB5 → 200 (50ms, 28947B)
[2026-06-06T16:54:21.614Z] GET blob:https://challenges.cloudflare.com/2c24be31-3ca0-47ca-af3f-aac8e79df346 → 200 (5ms, -72B)
[2026-06-06T16:56:21.645Z] POST https://www.opensecrets.org/cdn-cgi/challenge-platform/h/g/flow/ov1/4212158238:1780761618:nQmigPe2RjYgWbycYrqtZ7VtYd3iKO47J131q4xNYBs/a078f03a2d83e7ab/MT_lWNLLN2kOr5DjdodsBRoDVMMquqOcWehmuehfFNs-1780764860-1.2.1.1-V59xnkwhlNKk8IK7ybfrek0BZvvPSpuYYT5QB1I4jSclpJ1oDgtQO2fC_xpipEf3 → 200 (14ms, 4201B)
[2026-06-06T16:56:23.661Z] GET https://www.opensecrets.org/ → 403 (13ms, 5035B)
[2026-06-06T16:56:23.679Z] GET https://www.opensecrets.org/cdn-cgi/challenge-platform/h/g/orchestrate/chl_page/v1?ray=a078f33e0db6e7ab → 200 (23ms, 66656B)
[2026-06-06T16:56:23.706Z] GET blob:https://www.opensecrets.org/e5b230b6-cb38-413e-84ac-a9cd61c6c8e3 → pending (?ms, ?B)
[2026-06-06T16:56:23.709Z] GET https://challenges.cloudflare.com/turnstile/v0/g/8fc8ed1d8752/api.js?onload=NoWu9&render=explicit → 200 (?ms, -477B)
[2026-06-06T16:56:23.828Z] POST https://www.opensecrets.org/cdn-cgi/challenge-platform/h/g/flow/ov1/4212158238:1780761618:nQmigPe2RjYgWbycYrqtZ7VtYd3iKO47J131q4xNYBs/a078f33e0db6e7ab/r_ynr1sNdWvyp9HdrDyD.ovq2lX193c8s94dlOQ3L.U-1780764984-1.2.1.1-tXe4LDpITJQZpGoPgj0lbWe9WXADIG0pM_6AYma8AM1I4yybJ35x80JogNtO1AnH → 200 (23ms, 16606B)
[2026-06-06T16:56:23.849Z] GET blob:https://www.opensecrets.org/9bf83a78-351d-49f8-919d-e7fab67c4c62 → 200 (5ms, -72B)
[2026-06-06T16:56:23.852Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/turnstile/f/ov2/av0/rch/x8fxs/0x4AAAAAAADnPIDROrmt1Wwj/light/fbE/new/normal?lang=auto → 200 (26ms, 88941B)
[2026-06-06T16:56:23.899Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/cmg/1 → 200 (11ms, 209B)
[2026-06-06T16:56:23.916Z] GET blob:https://challenges.cloudflare.com/42a0f429-e27f-41ae-94c1-5a18f22167f6 → pending (?ms, ?B)
[2026-06-06T16:56:24.040Z] POST https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/flow/ov1/820979115:1780761619:nLZbFiRHe3VySS1wlSGn23l-2Zk4qPF0GrMcgiBWl5I/a078f33f380093b3/CpdFtuDmlTLwG2Wa5_b1pWx6wtckeB1aj9Zo.CB0WeM-1780764984-1.2.1.1-1Fh7DARml_fkdkcBoMJnpCBYtdETCig1cD99xHN1hWpd8VS0bpMNKfq8De6CSAS1 → 200 (102ms, 345183B)
[2026-06-06T16:56:24.182Z] GET blob:https://challenges.cloudflare.com/7b9bd840-498b-480a-a347-bce907f2fc84 → 200 (29ms, -72B)
[2026-06-06T16:56:24.669Z] GET blob:https://challenges.cloudflare.com/7b9bd840-498b-480a-a347-bce907f2fc84 → 200 (4ms, -72B)
[2026-06-06T16:56:24.710Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/d/a078f33f380093b3/1780764984390/b4HdazH66D5jSq3 → 200 (13ms, 8460B)
[2026-06-06T16:56:24.726Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/pat/a078f33f380093b3/1780764984390/cbaef04456ccc3ede78057d6fa9ef53481e03c3d5fb1ee30d8bdd275fd918b73/waq6BoSQOrCrlFK → 401 (11ms, 1694B)
[2026-06-06T16:56:25.171Z] POST https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/flow/ov1/820979115:1780761619:nLZbFiRHe3VySS1wlSGn23l-2Zk4qPF0GrMcgiBWl5I/a078f33f380093b3/CpdFtuDmlTLwG2Wa5_b1pWx6wtckeB1aj9Zo.CB0WeM-1780764984-1.2.1.1-1Fh7DARml_fkdkcBoMJnpCBYtdETCig1cD99xHN1hWpd8VS0bpMNKfq8De6CSAS1 → 200 (49ms, 28952B)
[2026-06-06T16:56:25.217Z] GET blob:https://challenges.cloudflare.com/7f83bc27-9d66-4a2e-8f2a-292526adfa74 → 200 (4ms, -72B)
[2026-06-06T16:57:47.660Z] GET https://www.gov.uk/ → 200 (42ms, 13643B)
[2026-06-06T16:57:47.716Z] GET https://www.gov.uk/assets/frontend/views/_homepage-64a9f4f542bbda5bcdae1df09ea442583c3981460eb5cd3be12e18ba1885ba31.css → 200 (7ms, 1645B)
[2026-06-06T16:57:47.716Z] GET https://www.gov.uk/assets/frontend/govuk_publishing_components/vendor/lux/lux-measurer-d66192b1b665d415e1874e49a48138b7ae339548aa6cdb8687c7f9933e72b969.js → 200 (9ms, 829B)
[2026-06-06T16:57:47.716Z] GET https://www.gov.uk/assets/frontend/govuk_publishing_components/rum-custom-data-b9e1806d1da2fa8ef1855d01aa71ba5eb0afc010dd2c4de3672cc7c7a39b0c8c.js → 200 (10ms, 291B)
[2026-06-06T16:57:47.716Z] GET https://www.gov.uk/assets/frontend/govuk_publishing_components/rum-loader-a65b10e18ceeba3bd8a2eac507c7f2c513cdc82f35097df903fdea87f1dc2e33.js → 200 (26ms, 464B)
[2026-06-06T16:57:47.716Z] GET https://www.gov.uk/assets/frontend/govuk_publishing_components/load-analytics-271e37e8217a5a334485ddacf3b89104ab3c51a15fbdba31a9f6a2c54938aa14.js → 200 (25ms, 12368B)
[2026-06-06T16:57:47.716Z] GET https://www.gov.uk/assets/frontend/application-5f3937abccf3af9987330d350b97d77600fc4d7982ebcdbe800cc8d288f43261.css → 200 (11ms, 42182B)
[2026-06-06T16:57:47.716Z] GET https://www.gov.uk/assets/frontend/application-08a98d8b773d1756791c8badd2fc3071db29006b028f0e7a9d75dd6883961f5f.js → 200 (26ms, 41980B)
[2026-06-06T16:57:47.753Z] GET https://www.gov.uk/assets/frontend/govuk_publishing_components/icon-close-eecb5fdf67d1688ddf2f93e6e09d5f87b9b24e0fc53596ad2a65cf187c2c7c76.svg → 200 (18ms, 510B)
[2026-06-06T16:57:47.754Z] GET https://www.gov.uk/assets/frontend/govuk-crest-9f82a3631d8ac5feb4660345a2b44ca98f077b48248f2cc139a0f412355bebef.svg → 200 (12ms, 14896B)
[2026-06-06T16:57:47.754Z] GET https://www.gov.uk/assets/frontend/bold-b542beb274-v2-35bf540bb39615b6a517986f3aa83f7fefa1efd1878603eeeb196488078542d1.woff2 → 200 (12ms, 31844B)
[2026-06-06T16:57:47.754Z] GET https://www.gov.uk/assets/frontend/light-94a07e06a1-v2-01565b0034e61d4609689bbb7ae0be844701f3812c8fe029fa1659b7ef3aa94f.woff2 → 200 (20ms, 33746B)
[2026-06-06T16:57:47.765Z] GET https://www.gov.uk/assets/frontend/homepage/find-a-job-4d38717b0451da3bb223ddea7f681d79e48c1c022da5a08f16aba3f681503150.png → 200 (13ms, 1749B)
[2026-06-06T16:57:47.766Z] GET https://www.gov.uk/assets/frontend/homepage/national-insurance-featured-7169e3631b639dcfc7be22469daf155ad0aa7516143ff8cf2e6f95ba29c8656c.png → 200 (12ms, 1525B)
[2026-06-06T16:57:47.766Z] GET https://www.gov.uk/assets/frontend/homepage/cost-of-living-featured-4cd41cec449e0bd47e707812a5c3b5c52726bed0acb4f31c9b66548cc6ff6309.png → 200 (12ms, 1644B)
[2026-06-06T16:57:47.766Z] GET https://www.gov.uk/assets/frontend/app-promo/govuk-app-icon-0bca94cf05737106d8e80f32a66f773d7b6ff9b9652fc555917d855914309af0.png → 200 (13ms, 4698B)
[2026-06-06T17:23:35.870Z] GET https://www.subtel.gob.cl/ → pending (?ms, ?B)
[2026-06-06T17:23:36.362Z] GET https://fonts.googleapis.com/css?family=Open+Sans:400italic,700italic,400,700 → 200 (38ms, 2398B)
[2026-06-06T17:23:36.362Z] GET https://www.subtel.gob.cl/wp-content/themes/gobcl-wp-master/css/main.css → 200 (96ms, 12337B)
[2026-06-06T17:23:36.362Z] GET https://fonts.googleapis.com/css?family=Open+Sans%3A300%2C400%2C500%2C600%2C700%2C800&display=swap&ver=6.0.11 → 200 (39ms, 2159B)
[2026-06-06T17:23:36.362Z] GET https://www.subtel.gob.cl/wp-content/plugins/photo-gallery/booster/assets/css/global.css?ver=1.0.0 → 200 (97ms, 5073B)
[2026-06-06T17:23:36.362Z] GET https://www.subtel.gob.cl/wp-includes/css/dist/block-library/style.min.css?ver=6.0.11 → 200 (98ms, 13409B)
[2026-06-06T17:23:36.362Z] GET https://www.subtel.gob.cl/wp-content/plugins/easy-accordion-free/Blocks/assets/css/fontello.min.css?ver=3.1.2 → 200 (98ms, 3226B)
[2026-06-06T17:23:36.362Z] GET https://www.subtel.gob.cl/wp-content/plugins/easy-accordion-free/Blocks/build/style-ea-blocks.css?ver=3.1.2 → 200 (141ms, 5958B)
[2026-06-06T17:23:36.362Z] GET https://www.subtel.gob.cl/wp-content/plugins/easy-accordion-free/Blocks/assets/css/animate.min.css?ver=3.1.2 → 200 (141ms, 5759B)
[2026-06-06T17:23:36.362Z] GET https://www.subtel.gob.cl/wp-content/plugins/photo-gallery/css/bwg-fonts/fonts.css?ver=0.0.1 → 200 (141ms, 2597B)
[2026-06-06T17:23:36.362Z] GET https://www.subtel.gob.cl/wp-content/plugins/photo-gallery/css/sumoselect.min.css?ver=3.4.6 → 200 (141ms, 3798B)
[2026-06-06T17:23:36.362Z] GET https://www.subtel.gob.cl/wp-content/plugins/photo-gallery/css/jquery.mCustomScrollbar.min.css?ver=3.1.5 → 200 (141ms, 5692B)
[2026-06-06T17:23:36.362Z] GET https://www.subtel.gob.cl/wp-content/plugins/photo-gallery/css/styles.min.css?ver=1.8.41 → 200 (348ms, 8832B)
[2026-06-06T17:23:36.362Z] GET https://www.subtel.gob.cl/wp-content/plugins/subtel-slider/public/css/slick.css?ver=1.0.0 → pending (?ms, ?B)
[2026-06-06T17:23:36.362Z] GET https://www.subtel.gob.cl/wp-content/plugins/subtel-slider/public/css/subtel_slider.css?ver=1.0.0 → pending (?ms, ?B)
[2026-06-06T17:23:36.362Z] GET https://www.subtel.gob.cl/wp-includes/js/jquery/jquery.min.js?ver=3.6.0 → pending (?ms, ?B)
[2026-06-06T17:23:36.362Z] GET https://www.subtel.gob.cl/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2 → pending (?ms, ?B)
[2026-06-06T17:23:36.362Z] GET https://www.subtel.gob.cl/wp-content/plugins/photo-gallery/booster/assets/js/circle-progress.js?ver=1.2.2 → pending (?ms, ?B)
[2026-06-06T17:23:36.362Z] GET https://www.subtel.gob.cl/wp-content/plugins/photo-gallery/booster/assets/js/global.js?ver=1.0.0 → pending (?ms, ?B)
[2026-06-06T17:23:36.362Z] GET https://www.subtel.gob.cl/wp-content/plugins/photo-gallery/js/jquery.sumoselect.min.js?ver=3.4.6 → pending (?ms, ?B)
